Lab Sample Number,Batch,Report Number,Sample Reference,Cluster,Sampling Group,Sample Site,Sample Number,Depth (m),Date Sampled,Time Taken,Stone Content (%),Moisture Content (%),Total mass of sample received (kg),Naphthalene,Acenaphthylene,Acenaphthene,Fluorene,Phenanthrene,Anthracene,Fluoranthene,Pyrene,Benzo(a)anthracene,Chrysene,Benzo(b)fluoranthene,Benzo(k)fluoranthene,Benzo(a)pyrene,"Indeno(1,2,3-cd)pyrene","Dibenz(a,h)anthracene",Benzo(ghi)perylene,Speciated Total EPA-16 PAHs,Benzene,Toluene,Ethylbenzene,p & m-xylene,o-xylene,MTBE (Methyl Tertiary Butyl Ether),Aliphatic >EC5 - EC6,Aliphatic >EC6 - EC8,Aliphatic >EC8 - EC10,Aliphatic >EC10 - EC12,Aliphatic >EC12 - EC16,Aliphatic >EC16 - EC21,Aliphatic >EC21 - EC35,Aliphatic > EC35 - EC44,Aliphatic (EC5 - EC35),Aliphatic (EC5 - EC44),Aromatic >EC5 - EC7,Aromatic >EC7 - EC8,Aromatic >EC8 - EC10,Aromatic >EC10 - EC12,Aromatic >EC12 - EC16,Aromatic >EC16 - EC21,Aromatic >EC21 - EC35,Aromatic > EC35 - EC44,Aromatic (EC5 - EC35),Aromatic (EC5 - EC44)
1056878,5,18-12342,1L10-1-G-C,17,1,1-L10,None Supplied,0.25,25/09/2018,None Supplied,0.1,76,0.33,0.05,0.05,2.8,0.05,0.05,0.05,5.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,8.74,1,1,1,1,1,1,0.001,0.001,0.001,110,4900,16000,31000,4500,52000,56000,0.001,0.001,0.001,23,3100,17000,37000,9600,57000,67000
1056879,5,18-12342,1L10-1-D0.5-D,17,1,1-L10,None Supplied,0.5,25/09/2018,None Supplied,0.1,75,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1.6,120,510,1200,250,1800,2100,0.001,0.001,0.001,1,63,520,1200,390,1700,2100
1056880,5,18-12342,1L10-1-D1.0-D,17,1,1-L10,None Supplied,1,25/09/2018,None Supplied,0.1,59,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,3.4,160,610,1600,370,2400,2700,0.001,0.001,0.001,1,63,640,1800,580,2500,3000
1056881,5,18-12342,1L10-1-D2.0-D,17,1,1-L10,None Supplied,2,25/09/2018,None Supplied,0.1,57,0.17,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,8.7,45,110,50,170,220,0.001,0.001,0.001,1,8.6,45,130,130,190,320
1056882,5,18-12342,1L10-1-D3.66-D,17,1,1-L10,None Supplied,3.66,25/09/2018,None Supplied,0.1,49,0.18,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1.7,26,76,180,49,280,330,0.001,0.001,0.001,1,7.4,51,150,110,210,320
1081112,9,18-12342,1-L10-D-0.75m-D,17,1,1-L10,None Supplied,0.75,20/10/2018,1424,0.1,59,0.18,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,25,110,190,24,330,350,0.001,0.001,0.001,1,13,80,160,12,260,270
1056884,5,18-12342,4-E23-1-D0.18-D,18,4,4-E23,None Supplied,0.18,11/9/18,None Supplied,0.1,58,0.13,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,70,2500,7500,17000,2900,27000,30000,0.001,0.001,0.001,30,1800,12000,33000,9300,47000,56000
1056886,5,18-12342,4-G23-1-D0.25-D,19,4,4-G23,None Supplied,0.25,13/09/2018,None Supplied,0.1,66,0.17,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,20,560,1000,2500,180,4100,4300,0.001,0.001,0.001,9.5,230,1200,3400,1500,4800,6300
1060695,6,18-13020,4-P23-1-G-C,20,4,4-P23,None Supplied,0,26/09/2018,None Supplied,0.1,66,0.33,6.8,0.05,3.3,1.7,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11.9,1,1,1,1,1,1,0.001,0.001,0.001,79,1600,2900,3800,870,8400,9200,0.001,0.001,0.001,18,1600,4900,7500,2200,14000,16000
1060696,6,18-13020,4-P23-1-S-C,20,4,4-P23,None Supplied,0.25,26/09/2018,None Supplied,0.1,65,0.34,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,95,1500,2800,5000,940,9400,10000,0.001,0.001,0.001,28,1100,5800,11000,3600,18000,22000
1060697,6,18-13020,4-P23-1-D0.5-D,20,4,4-P23,None Supplied,0.5,26/09/2018,None Supplied,0.1,54,0.17,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060698,6,18-13020,4-P23-1-D1.0-D,20,4,4-P23,None Supplied,1,26/09/2018,None Supplied,0.1,50,0.17,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060699,6,18-13020,4-P23-1-D2.0-D,20,4,4-P23,None Supplied,2,26/09/2018,None Supplied,0.1,50,0.17,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060700,6,18-13020,4-P23-1-D2.76-D,20,4,4-P23,None Supplied,2.76,26/09/2018,None Supplied,0.1,14,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060701,6,18-13020,4-Q23-1-G-C,21,4,4-Q23,None Supplied,0,26/09/2018,None Supplied,0.1,28,0.41,3.4,0.05,1.7,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,5.02,1,1,1,1,1,1,0.001,0.001,0.001,26,1000,2600,4300,850,7900,8800,0.001,0.001,0.001,4,1100,5100,9000,2800,15000,18000
1060702,6,18-13020,4-Q23-1-S-C,21,4,4-Q23,None Supplied,0.25,26/09/2018,None Supplied,0.1,52,0.34,7.1,0.5,4.3,3,3.5,2.8,1.4,1.7,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,24.2,1,1,1,1,1,1,0.001,0.001,0.001,34,1100,3900,11000,2000,16000,18000,0.001,0.001,0.001,30,860,6000,17000,6100,24000,30000
1060703,6,18-13020,4-Q23-1-D0.5-D,21,4,4-Q23,None Supplied,0.5,26/09/2018,None Supplied,0.1,35,0.19,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060704,6,18-13020,4-Q23-1-D1.0-D,21,4,4-Q23,None Supplied,1,26/09/2018,None Supplied,0.1,13,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060705,6,18-13020,4-Q23-1-D2.0-D,21,4,4-Q23,None Supplied,2,26/09/2018,None Supplied,0.1,47,0.17,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060706,6,18-13020,4-Q23-1-D2.33-D,21,4,4-Q23,None Supplied,2.33,26/09/2018,None Supplied,0.1,46,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060710,6,18-13020,6-Q30-I-G-C,22,6,6-Q30,None Supplied,0,28/09/2018,None Supplied,0.1,68,0.33,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,93,3800,8300,15000,3000,27000,30000,0.001,0.001,0.001,85,2400,9500,14000,3700,26000,30000
1060711,6,18-13020,6-Q30-I-S-C,22,6,6-Q30,None Supplied,0.25,28/09/2018,None Supplied,0.1,67,0.33,3.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,3.08,1,1,1,1,1,1,0.001,0.001,0.001,62,1700,5500,14000,3300,21000,25000,0.001,0.001,0.001,11,940,8100,19000,8900,28000,37000
1060712,6,18-13020,6-Q30-I-D0.50-D,22,6,6-Q30,None Supplied,0.5,28/09/2018,None Supplied,0.1,71,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,3,150,540,700,170,1400,1600,0.001,0.001,0.001,1,120,530,790,310,1400,1800
1060713,6,18-13020,6-Q30-I-D1.0-D,22,6,6-Q30,None Supplied,1,28/09/2018,None Supplied,0.1,57,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,3.9,58,110,150,39,320,360,0.001,0.001,0.001,1,32,86,150,110,270,380
1060714,6,18-13020,6-Q30-I-D2.0-D,22,6,6-Q30,None Supplied,2,28/09/2018,None Supplied,0.1,55,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,16,16
1060715,6,18-13020,6-Q30-I-D3.0-D,22,6,6-Q30,None Supplied,3,28/09/2018,None Supplied,0.1,55,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060716,6,18-13020,6-Q30-I-D3.36-D,22,6,6-Q30,None Supplied,3.36,28/09/2018,None Supplied,0.1,52,0.17,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060718,6,18-13020,5-O26-I-G-C,23,5,5-O26,None Supplied,0,28/09/2018,None Supplied,0.1,75,0.3,15,0.05,3.2,1.6,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,20,1,1,1,1,1,1,0.001,0.001,0.001,17,730,1400,1800,340,4000,4300,0.001,0.001,0.001,8.8,440,1200,1900,540,3500,4000
1060719,6,18-13020,5-O26-I-S-C,23,5,5-O26,None Supplied,0.25,28/09/2018,None Supplied,0.1,71,0.31,4.7,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,4.73,1,1,1,1,1,1,0.001,0.001,0.001,250,3300,7200,18000,3200,28000,32000,0.001,0.001,0.001,32,1300,6400,14000,3400,21000,25000
1060720,6,18-13020,5-O26-I-D0.5-D,23,5,5-O26,None Supplied,0.5,28/09/2018,None Supplied,0.1,55,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060721,6,18-13020,5-O26-I-D3.0-D,23,5,5-O26,None Supplied,3,28/09/2018,None Supplied,0.1,50,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1.6,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060722,6,18-13020,5-O26-I-D3.30-D,23,5,5-O26,None Supplied,3.3,28/09/2018,None Supplied,0.1,16,0.17,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1.2,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1061454,6,18-13020,5-026-1-D1.0-D,23,5,5-O26,None Supplied,1,27/09/2018,1225,0.1,53,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1061455,6,18-13020,5-026-1-D2.0-D,23,5,5-O26,None Supplied,2,27/09/2018,1231,0.1,48,0.17,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,22,32,46,8.4,100,100,0.001,0.001,0.001,2.1,19,15,39,8.4,75,75
1060723,6,18-13020,5-R26-I-G-C,24,5,5-R26,None Supplied,0,27/09/2018,None Supplied,0.1,68,0.31,9.3,0.05,1.7,0.69,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11.7,1,1,1,1,1,1,0.001,0.001,0.001,1.5,17,13,31,8.4,62,62,0.001,0.001,0.001,12,24,16,25,8.4,77,77
1060724,6,18-13020,5-R26-I-S-C,24,5,5-R26,None Supplied,0.25,27/09/2018,None Supplied,0.1,70,0.32,3.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,3.32,1,1,1,1,1,1,0.001,0.001,0.001,410,8600,28000,54000,9500,91000,100000,0.001,0.001,0.001,52,4200,21000,57000,16000,83000,99000
1060725,6,18-13020,5-R26-I-D0.5-D,24,5,5-R26,None Supplied,0.5,27/09/2018,None Supplied,0.1,60,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060726,6,18-13020,5-R26-I-D1.0-D,24,5,5-R26,None Supplied,1,27/09/2018,None Supplied,0.1,60,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060727,6,18-13020,5-R26-I-D2.0-D,24,5,5-R26,None Supplied,2,27/09/2018,None Supplied,0.1,55,0.14,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060728,6,18-13020,5-R26-I-D3.0-D,24,5,5-R26,None Supplied,3,27/09/2018,None Supplied,0.1,32,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1060729,6,18-13020,5-R26-I-D3.10-D,24,5,5-R26,None Supplied,3.1,27/09/2018,None Supplied,0.1,20,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,7,19,25,8.4,51,51,0.001,0.001,0.001,1,6.8,30,32,8.4,69,69
1068559,7,18-14329,6-030-1-G-C,25,6,6-O30,None Supplied,0,4/10/18,1140,0.1,72,0.32,1.4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.35,1,1,1,1,1,1,0.001,0.001,0.001,1,12,100,550,8.4,660,660,0.001,0.001,0.001,9.2,73,120,280,8.4,490,490
1068560,7,18-14329,6-030-1-S-C,25,6,6-O30,None Supplied,0.25,4/10/18,1145,0.1,78,0.31,2.7,0.05,0.4,0.27,0.46,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,3.83,1,1,1,1,1,1,0.001,0.001,0.001,3.4,39,130,460,210,630,840,0.001,0.001,0.001,4.1,12,72,280,8.4,370,370
1068561,7,18-14329,6-030-1-D0.5m-D,25,6,6-O30,None Supplied,0.5,4/10/18,1257,0.1,67,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1.6,11,23,93,37,130,160,0.001,0.001,0.001,1,2,10,52,8.4,63,63
1068562,7,18-14329,6-030-1-D1.0M-D,25,6,6-O30,None Supplied,1,4/10/18,1259,0.1,50,0.16,0.05,0.05,0.05,0.05,0.39,0.05,0.29,0.23,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.91,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068563,7,18-14329,6-030-1-D2.0m-S,25,6,6-O30,None Supplied,2,4/10/18,1303,0.1,53,0.16,0.05,0.05,0.05,0.05,0.65,0.19,0.49,0.39,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.72,1,1,1,1,1,1,0.001,0.001,0.001,1,2.7,8,23,17,30,47,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068564,7,18-14329,6-030-1-D3.0m-D,25,6,6-O30,None Supplied,3,4/10/18,1305,0.1,52,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1.7,5.1,8.5,38,8.4,53,53,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068565,7,18-14329,6-030-1-D3.26-D,25,6,6-O30,None Supplied,3.26,4/10/18,1307,0.1,29,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,36,8.4,39,39,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068572,7,18-14329,6-V30-1-G-C,26,6,6-V30,None Supplied,0,5/10/18,1211,0.1,71,0.33,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,3.7,97,880,3300,590,4300,4900,0.001,0.001,0.001,1,26,520,2300,640,2900,3500
1068573,7,18-14329,6-V30-1-S-C,26,6,6-V30,None Supplied,0.25,5/10/18,1215,0.1,52,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068574,7,18-14329,6-V30-1-D0.5m-D,26,6,6-V30,None Supplied,0.5,5/10/18,1311,0.1,51,0.36,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068575,7,18-14329,6-V30-1-D1.0m-D,26,6,6-V30,None Supplied,1,5/10/18,1312,0.1,70,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,2.2,48,190,450,95,690,790,0.001,0.001,0.001,1,11,160,350,46,520,560
1068576,7,18-14329,6-V30-1-D2.0m-D,26,6,6-V30,None Supplied,2,5/10/18,1314,0.1,15,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068577,7,18-14329,6-V30-1-D3.0m-D,26,6,6-V30,None Supplied,3,5/10/18,1316,0.1,16,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068578,7,18-14329,1-I10-1-G-C,27,1,1-I10,None Supplied,0,8/10/18,1212,0.1,60,0.35,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,16,330,1300,2400,440,4000,4400,0.001,0.001,0.001,18,500,4000,9500,2200,14000,16000
1068579,7,18-14329,1-I10-1-S-C,27,1,1-I10,None Supplied,0.25,8/10/18,1214,0.1,72,0.34,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,16,310,800,1900,260,3000,3300,0.001,0.001,0.001,1,110,570,1500,360,2200,2600
1068580,7,18-14329,1-I10-1-D0.5m-D,27,1,1-I10,None Supplied,0.5,8/10/18,1215,0.1,58,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,3.2,22,96,8.4,120,120,0.001,0.001,0.001,1,2,22,130,8.4,150,150
1068581,7,18-14329,1-I10-1-D1.0m-D,27,1,1-I10,None Supplied,1,8/10/18,1217,0.1,59,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,44,8.4,44,44,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068582,7,18-14329,1-I10-1-D2.0m-D,27,1,1-I10,None Supplied,2,8/10/18,1219,0.1,56,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,18,110,12,130,140,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068583,7,18-14329,1-I10-1-D2.54-D,27,1,1-I10,None Supplied,2.54,8/10/18,1221,0.1,52,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,19,8.4,19,19,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068584,7,18-14329,1-N10-1-G-C,28,1,1-N10,None Supplied,0,8/10/18,1307,0.1,73,0.32,1.2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.17,1,1,1,1,1,1,0.001,0.001,0.001,1,14000,42000,84000,13000,140000,150000,0.001,0.001,0.001,130,4400,24000,68000,23000,97000,120000
1068585,7,18-14329,1-N10-1-S-C,28,1,1-N10,None Supplied,0.25,8/10/18,1309,0.1,78,0.32,2.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2.31,1,1,1,1,1,1,0.001,0.001,0.001,99,4200,11000,20000,3200,35000,39000,0.001,0.001,0.001,16,2200,12000,28000,10000,42000,52000
1068586,7,18-14329,1-N10-1-D0.5m-D,28,1,1-N10,None Supplied,0.5,8/10/18,1428,0.1,67,0.16,0.58,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,3.9,57,160,400,110,620,730,0.001,0.001,0.001,2.2,27,160,450,8.4,640,640
1068587,7,18-14329,1-N10-1-D1.0m-D,28,1,1-N10,None Supplied,1,8/10/18,1430,0.1,26,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,8,8.4,10,10,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068588,7,18-14329,1-N10-1-D2.0m-D,28,1,1-N10,None Supplied,2,8/10/18,1431,0.1,53,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,25,8.4,27,27,0.001,0.001,0.001,1,2,10,10,8.4,10,10
1068589,7,18-14329,1-N10-1-D2.9m-D,28,1,1-N10,None Supplied,2.9,8/10/18,1432,0.1,47,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8,1,1,1,1,1,1,0.001,0.001,0.001,1,2,8,18,8.4,18,18,0.001,0.001,0.001,1,2,10,10,8.4,10,10
